epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.6586,3.07086,4.71221,2.37144,0,0,0,0,2.43451,4.67542,2.36009,0.09802,2e-05,2e-05
2,29.5457,2.44704,4.17298,1.85387,0,0,0,0,2.38581,4.32446,2.17863,0.09505,4.99878e-05,4.99878e-05
3,41.0997,2.41196,3.71455,1.74433,0.03702,0.16327,0.05967,0.0294,2.31751,4.1964,2.19747,0.0920799,7.99219e-05,7.99219e-05
4,52.4503,2.34143,3.23522,1.58501,0.01871,0.20408,0.06067,0.03463,2.16485,4.20555,2.10501,0.0891098,0.000109758,0.000109758
5,64.3109,2.46329,3.25875,1.64145,0.0033,0.2449,0.06714,0.03478,2.14371,4.20566,2.05179,0.0861395,0.000139454,0.000139454
6,76.6217,2.48905,3.44212,1.7039,0.01314,0.2449,0.03769,0.0105,2.80574,4.84571,2.55461,0.083169,0.000168964,0.000168964
7,88.9544,2.46536,3.09643,1.65506,0.01455,0.18367,0.05054,0.01259,3.025,4.99587,2.85257,0.0801982,0.000198246,0.000198246
8,100.777,2.20162,2.9082,1.55524,0.01966,0.2449,0.05939,0.02,2.65326,4.76889,2.42793,0.0772273,0.000227258,0.000227258
9,112.324,2.02137,2.77505,1.47853,0.01939,0.28571,0.11267,0.07953,1.60526,3.98872,1.50859,0.074256,0.000255957,0.000255957
10,123.769,2.23354,2.78276,1.53457,0.01166,0.28571,0.11308,0.08623,1.45845,3.88932,1.42923,0.0712843,0.0002843,0.0002843
11,135.383,2.28444,2.81259,1.57231,0.00478,0.28571,0.10461,0.07972,1.47079,3.85128,1.40501,0.0683122,0.000312247,0.000312247
12,146.918,2.29963,2.79978,1.57706,0.01291,0.42857,0.13249,0.09731,1.65198,3.88855,1.51453,0.0653398,0.000339758,0.000339758
13,158.401,2.20862,2.63238,1.52489,0.00844,0.5,0.13435,0.09215,1.75214,3.80542,1.55298,0.0623668,0.000366791,0.000366791
14,169.893,2.08686,2.42231,1.46527,0.15124,0.64286,0.23794,0.11223,1.76624,3.73277,1.54382,0.0593933,0.000393308,0.000393308
15,181.472,2.15558,2.49006,1.48264,0.06398,0.67347,0.28494,0.10727,1.88554,3.70849,1.60217,0.0564193,0.000419271,0.000419271
16,192.885,2.1687,2.41901,1.45154,0.02471,0.60204,0.1785,0.09516,1.81054,3.6265,1.56525,0.0534446,0.000444643,0.000444643
17,204.055,2.04823,2.32913,1.39501,0.37743,0.08404,0.26375,0.13974,1.65966,3.32297,1.46777,0.0504694,0.000469386,0.000469386
18,215.202,2.04356,2.27961,1.41073,0.35488,0.0771,0.3295,0.14484,1.5869,3.19404,1.45324,0.0474935,0.000493466,0.000493466
19,226.198,1.96708,2.19326,1.37568,0.43162,0.13732,0.31665,0.18286,1.52243,3.01051,1.40303,0.0445168,0.000516848,0.000516848
20,237.195,2.05807,2.25521,1.44421,0.41418,0.16621,0.33138,0.18014,1.50438,2.90002,1.41018,0.0415395,0.000539499,0.000539499
21,248.274,2.05555,2.1637,1.41074,0.39883,0.18367,0.33741,0.17623,1.46038,2.79115,1.40193,0.0385614,0.000561387,0.000561387
22,259.232,1.96312,2.2221,1.40969,0.40207,0.22449,0.3437,0.16202,1.47402,2.75819,1.42608,0.0355825,0.000582482,0.000582482
23,270.256,1.88613,2.14486,1.40728,0.3944,0.26531,0.34795,0.16388,1.49804,2.72557,1.44922,0.0326028,0.000602755,0.000602755
24,281.245,1.83738,2.1455,1.35542,0.393,0.26525,0.34403,0.15329,1.50083,2.64255,1.43846,0.0296222,0.000622177,0.000622177
25,292.424,2.07063,2.13599,1.40931,0.38059,0.2449,0.27449,0.16289,1.44871,2.5681,1.39981,0.0266407,0.000640721,0.000640721
26,303.531,1.82965,2.03421,1.3159,0.38862,0.2449,0.24326,0.16195,1.40772,2.49641,1.35436,0.0236584,0.000658364,0.000658364
27,314.537,1.82694,2.01066,1.3155,0.45568,0.36735,0.38363,0.18731,1.36274,2.46883,1.33366,0.0206751,0.000675081,0.000675081
28,325.879,1.95316,2.09651,1.4003,0.32097,0.33524,0.2307,0.14172,1.38956,2.58472,1.34216,0.0176908,0.00069085,0.00069085
