epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.0559,3.29951,4.6915,2.64079,0.00345,0.02857,0.01597,0.00319,2.43816,4.33248,2.09222,1.666e-05,1.666e-05,1.666e-05
2,29.9187,3.34163,4.69876,2.56083,0.00345,0.02857,0.01114,0.00223,2.26946,4.27879,1.99249,4.12377e-05,4.12377e-05,4.12377e-05
3,40.618,3.0639,4.60346,2.35465,0.00727,0.05714,0.05027,0.03016,2.04488,4.19273,1.74614,6.53205e-05,6.53205e-05,6.53205e-05
4,51.2369,2.685,4.36036,2.0278,0.00645,0.05714,0.05931,0.03124,1.79602,4.11813,1.51362,8.89086e-05,8.89086e-05,8.89086e-05
5,62.0563,2.51283,4.18945,1.91335,0.0125,0.08571,0.08162,0.04486,1.38635,4.10243,1.41326,0.000112002,0.000112002,0.000112002
6,72.5866,2.56202,3.90215,1.92572,0.01429,0.11429,0.11801,0.07256,1.35948,4.01956,1.35325,0.0001346,0.0001346,0.0001346
7,83.2862,2.73703,3.93272,1.96846,0.02239,0.2,0.15333,0.10482,1.36111,3.87639,1.28468,0.000156704,0.000156704,0.000156704
8,93.9026,2.44686,3.53105,1.70679,0.02917,0.45714,0.19214,0.13759,1.39254,3.82734,1.27843,0.000178313,0.000178313,0.000178313
9,104.364,2.33997,3.38632,1.63264,0.03032,0.48571,0.21199,0.14719,1.23953,3.69751,1.18868,0.000199427,0.000199427,0.000199427
10,114.926,2.35725,3.24737,1.61959,0.03086,0.51429,0.23555,0.17513,1.20584,3.59722,1.14944,0.000220046,0.000220046,0.000220046
11,125.551,2.55006,3.27318,1.64599,0.02828,0.51429,0.2461,0.19365,1.23088,3.54934,1.16145,0.000240171,0.000240171,0.000240171
12,136.205,2.52931,3.25293,1.63797,0.0269,0.51429,0.23186,0.19049,1.2734,3.57091,1.17058,0.0002598,0.0002598,0.0002598
13,146.598,2.24584,2.98437,1.55278,0.03064,0.64286,0.25648,0.18437,1.34099,3.51076,1.1973,0.000278935,0.000278935,0.000278935
14,157.103,2.13353,2.83069,1.49069,0.02843,0.61429,0.248,0.17586,1.50233,3.50499,1.29014,0.000297575,0.000297575,0.000297575
15,167.606,2.34904,2.95481,1.56858,0.89855,0.11139,0.24324,0.13822,1.60153,3.16976,1.30668,0.00031572,0.00031572,0.00031572
16,177.998,2.29513,2.79253,1.52876,0.88944,0.09317,0.28142,0.15166,1.48496,2.95665,1.22404,0.000333371,0.000333371,0.000333371
17,188.552,2.20956,2.69694,1.44584,0.03649,0.97143,0.37865,0.24323,1.18782,2.76187,1.10671,0.000350526,0.000350526,0.000350526
18,199.036,2.16318,2.55067,1.4035,0.03491,0.97143,0.39502,0.24626,1.18891,2.79709,1.10075,0.000367187,0.000367187,0.000367187
19,209.643,2.06538,2.43599,1.34511,0.03636,0.97143,0.37985,0.2141,1.24024,2.85896,1.12852,0.000383353,0.000383353,0.000383353
20,220.18,2.10996,2.46767,1.37173,0.03703,0.97143,0.38217,0.19942,1.43383,2.9039,1.22717,0.000399024,0.000399024,0.000399024
21,230.737,1.99446,2.41309,1.35404,0.03806,1,0.43528,0.21803,1.50106,2.88035,1.30231,0.000414201,0.000414201,0.000414201
22,241.151,1.97322,2.29971,1.36074,0.7634,0.28571,0.53697,0.26872,1.50779,2.62779,1.3268,0.000428883,0.000428883,0.000428883
23,251.561,2.02572,2.27419,1.40123,0.80802,0.27907,0.59293,0.31892,1.41369,2.36101,1.25435,0.000443069,0.000443069,0.000443069
24,262.232,2.01794,2.30136,1.35701,0.61322,0.30978,0.49666,0.27718,1.35171,2.27634,1.19866,0.000456761,0.000456761,0.000456761
25,272.812,1.91875,2.23047,1.34824,0.69603,0.48275,0.52503,0.29255,1.37532,2.26576,1.19459,0.000469959,0.000469959,0.000469959
26,283.576,2.03572,2.20163,1.33926,0.66426,0.51857,0.55425,0.29371,1.48137,2.25963,1.2019,0.000482661,0.000482661,0.000482661
27,294.096,1.99503,2.1647,1.341,0.46058,0.70582,0.53336,0.24021,1.63076,2.29575,1.23147,0.000494869,0.000494869,0.000494869
28,304.659,1.92848,2.10142,1.32966,0.35557,0.49629,0.46506,0.1979,1.66231,2.50554,1.27124,0.000506581,0.000506581,0.000506581
29,315.473,1.97786,2.19059,1.33934,0.35557,0.49629,0.46506,0.1979,1.66231,2.50554,1.27124,0.000517799,0.000517799,0.000517799
30,326.107,1.96201,2.14881,1.37711,0.28426,0.53069,0.4599,0.19261,1.59085,2.51646,1.25784,0.000528523,0.000528523,0.000528523
31,336.612,1.91282,2.09043,1.36536,0.25693,0.3342,0.47512,0.21629,1.48449,2.46912,1.23415,0.000538751,0.000538751,0.000538751
32,347.272,1.91127,2.05154,1.32897,0.33842,0.48076,0.42262,0.17665,1.43913,2.47545,1.29932,0.000548485,0.000548485,0.000548485
33,358.056,1.91216,2.06398,1.33842,0.33842,0.48076,0.42262,0.17665,1.43913,2.47545,1.29932,0.000557723,0.000557723,0.000557723
34,369.926,1.86177,1.99041,1.31587,0.31681,0.48443,0.3681,0.15525,1.37196,2.52518,1.33262,0.000560859,0.000560859,0.000560859
35,382.352,1.87769,1.9838,1.29177,0.3209,0.48571,0.36714,0.16256,1.4488,2.49092,1.36957,0.000552612,0.000552612,0.000552612
36,393.694,1.81192,1.94755,1.29422,0.3551,0.47366,0.35305,0.18037,1.39556,2.37773,1.32817,0.000544365,0.000544365,0.000544365
37,404.524,1.84386,1.98407,1.32238,0.3551,0.47366,0.35305,0.18037,1.39556,2.37773,1.32817,0.000536119,0.000536119,0.000536119
38,415.421,1.80355,1.95055,1.30068,0.37416,0.5499,0.51102,0.21287,1.39961,2.32465,1.30542,0.000527872,0.000527872,0.000527872
39,426.185,1.80168,1.93783,1.27129,0.28936,0.45752,0.37792,0.19137,1.3919,2.30988,1.2932,0.000519625,0.000519625,0.000519625
40,437.151,1.77879,1.87752,1.25561,0.30292,0.53395,0.44985,0.21003,1.47569,2.24393,1.32525,0.000511379,0.000511379,0.000511379
41,448.121,1.81745,1.90794,1.24155,0.30292,0.53395,0.44985,0.21003,1.47569,2.24393,1.32525,0.000503132,0.000503132,0.000503132
42,459.432,1.90636,1.94851,1.27647,0.21841,0.39063,0.33875,0.19241,1.33713,2.09728,1.24793,0.000494885,0.000494885,0.000494885
43,470.323,1.72628,1.82772,1.2232,0.27207,0.4703,0.42799,0.22589,1.37556,1.96351,1.25679,0.000486639,0.000486639,0.000486639
44,481.046,1.84142,1.91392,1.24059,0.31445,0.61378,0.51333,0.26012,1.40229,1.87994,1.25352,0.000478392,0.000478392,0.000478392
45,491.694,1.7304,1.9283,1.28528,0.31445,0.61378,0.51333,0.26012,1.40229,1.87994,1.25352,0.000470145,0.000470145,0.000470145
46,502.423,1.70813,1.78676,1.25568,0.54659,0.61429,0.52632,0.29506,1.45407,1.8594,1.2491,0.000461898,0.000461898,0.000461898
47,513.205,1.77588,1.85703,1.27542,0.57695,0.60358,0.50552,0.25526,1.43869,1.82602,1.24647,0.000453652,0.000453652,0.000453652
48,524.128,1.95404,1.97317,1.2668,0.49495,0.63316,0.43702,0.19063,1.37799,1.83797,1.22679,0.000445405,0.000445405,0.000445405
49,535.628,1.78733,1.93477,1.26189,0.49495,0.63316,0.43702,0.19063,1.37799,1.83797,1.22679,0.000437158,0.000437158,0.000437158
50,546.503,1.72632,1.80545,1.19882,0.37294,0.37601,0.25637,0.15875,1.41421,1.90102,1.26619,0.000428912,0.000428912,0.000428912
51,557.401,1.76781,2.02991,1.2615,0.42061,0.49562,0.32934,0.17645,1.41768,1.93651,1.28655,0.000420665,0.000420665,0.000420665
52,568.683,1.76843,1.90304,1.23565,0.50261,0.57586,0.52711,0.24217,1.38741,1.8969,1.25275,0.000412418,0.000412418,0.000412418
53,580.054,1.76342,1.8222,1.22387,0.50261,0.57586,0.52711,0.24217,1.38741,1.8969,1.25275,0.000404172,0.000404172,0.000404172
54,591.644,1.79473,1.83414,1.21405,0.32331,0.65067,0.48962,0.25809,1.4118,1.86463,1.26923,0.000395925,0.000395925,0.000395925
55,602.651,1.7017,1.81495,1.20715,0.27317,0.56839,0.42264,0.24147,1.37543,1.82982,1.25401,0.000387678,0.000387678,0.000387678
56,613.246,1.64761,1.81157,1.191,0.27973,0.5587,0.36986,0.21279,1.27052,1.77247,1.22863,0.000379431,0.000379431,0.000379431
57,623.774,1.64632,1.78446,1.22413,0.27973,0.5587,0.36986,0.21279,1.27052,1.77247,1.22863,0.000371185,0.000371185,0.000371185
58,634.414,1.6362,1.74784,1.1712,0.45517,0.55352,0.37873,0.21166,1.26963,1.72445,1.22696,0.000362938,0.000362938,0.000362938
59,645.019,1.6704,1.75457,1.17758,0.49959,0.63904,0.39552,0.21766,1.28347,1.71823,1.23607,0.000354691,0.000354691,0.000354691
60,655.558,1.71614,1.80786,1.17546,0.43024,0.52808,0.31005,0.20668,1.29053,1.69431,1.24645,0.000346445,0.000346445,0.000346445
61,665.955,1.72661,1.8078,1.24274,0.43024,0.52808,0.31005,0.20668,1.29053,1.69431,1.24645,0.000338198,0.000338198,0.000338198
62,676.616,1.67494,1.7758,1.1899,0.44482,0.54123,0.30769,0.19987,1.29832,1.71871,1.25347,0.000329951,0.000329951,0.000329951
63,687.326,1.53437,1.72011,1.19882,0.50577,0.67143,0.47587,0.22407,1.30477,1.73321,1.25379,0.000321705,0.000321705,0.000321705
64,697.776,1.63828,1.76366,1.19778,0.51048,0.67143,0.48168,0.22458,1.29423,1.74574,1.25487,0.000313458,0.000313458,0.000313458
65,708.262,1.57984,1.69649,1.16931,0.51048,0.67143,0.48168,0.22458,1.29423,1.74574,1.25487,0.000305211,0.000305211,0.000305211
66,718.969,1.66997,1.7454,1.17265,0.54403,0.65818,0.48894,0.22765,1.28977,1.74866,1.26833,0.000296964,0.000296964,0.000296964
67,729.36,1.65586,1.7892,1.20274,0.46415,0.54249,0.37071,0.19697,1.2425,1.74843,1.24323,0.000288718,0.000288718,0.000288718
68,739.949,1.67828,1.75867,1.19691,0.46447,0.58666,0.36741,0.19557,1.20569,1.73384,1.22799,0.000280471,0.000280471,0.000280471
69,750.454,1.65557,1.79617,1.16689,0.46447,0.58666,0.36741,0.19557,1.20569,1.73384,1.22799,0.000272224,0.000272224,0.000272224
70,760.936,1.55154,1.73746,1.17603,0.54219,0.63595,0.47124,0.2347,1.18802,1.71311,1.19907,0.000263978,0.000263978,0.000263978
71,771.478,1.58179,1.70272,1.17525,0.55733,0.67143,0.48412,0.27053,1.14478,1.69684,1.15592,0.000255731,0.000255731,0.000255731
72,781.929,1.64903,1.74855,1.19704,0.36258,0.66413,0.48412,0.29137,1.17152,1.70088,1.16184,0.000247484,0.000247484,0.000247484
73,792.386,1.62759,1.68396,1.14428,0.36258,0.66413,0.48412,0.29137,1.17152,1.70088,1.16184,0.000239238,0.000239238,0.000239238
74,802.868,1.54386,1.62585,1.14409,0.34612,0.64286,0.43335,0.2448,1.20315,1.72481,1.18756,0.000230991,0.000230991,0.000230991
75,813.288,1.61753,1.76296,1.19171,0.31964,0.67124,0.39613,0.20856,1.24192,1.80673,1.21817,0.000222744,0.000222744,0.000222744
76,823.847,1.56726,1.70856,1.14817,0.25301,0.56187,0.35423,0.18916,1.2483,1.87115,1.24047,0.000214497,0.000214497,0.000214497
77,834.388,1.60578,1.70686,1.16679,0.25301,0.56187,0.35423,0.18916,1.2483,1.87115,1.24047,0.000206251,0.000206251,0.000206251
78,844.731,1.61368,1.75637,1.24129,0.26386,0.60104,0.34716,0.179,1.30244,1.92777,1.27354,0.000198004,0.000198004,0.000198004
79,855.696,1.55078,1.68947,1.14245,0.29875,0.61813,0.40018,0.19016,1.31002,1.93906,1.27888,0.000189757,0.000189757,0.000189757
80,866.258,1.63772,1.69362,1.18665,0.32204,0.63448,0.41256,0.19364,1.31758,1.94448,1.2712,0.000181511,0.000181511,0.000181511
81,876.818,1.52009,1.64369,1.17141,0.32204,0.63448,0.41256,0.19364,1.31758,1.94448,1.2712,0.000173264,0.000173264,0.000173264
82,887.665,1.57545,1.64908,1.14845,0.2992,0.5487,0.4714,0.2038,1.31639,1.94585,1.26393,0.000165017,0.000165017,0.000165017
83,898.459,1.60593,1.70612,1.16066,0.31602,0.51429,0.47032,0.20703,1.31878,1.94565,1.27872,0.000156771,0.000156771,0.000156771
84,908.934,1.4655,1.59457,1.13501,0.55419,0.59072,0.46763,0.19054,1.30862,1.98168,1.28933,0.000148524,0.000148524,0.000148524
85,919.487,1.51841,1.66804,1.13364,0.55419,0.59072,0.46763,0.19054,1.30862,1.98168,1.28933,0.000140277,0.000140277,0.000140277
86,930.03,1.54298,1.67288,1.12152,0.55459,0.57725,0.45881,0.18458,1.28783,1.98557,1.29312,0.000132031,0.000132031,0.000132031
87,940.45,1.58389,1.68325,1.2209,0.55358,0.58654,0.45562,0.18412,1.26447,2.00059,1.28129,0.000123784,0.000123784,0.000123784
88,951.018,1.47723,1.65088,1.11416,0.54636,0.60846,0.44393,0.17464,1.2534,2.03876,1.28609,0.000115537,0.000115537,0.000115537
89,961.562,1.56063,1.67854,1.1227,0.54636,0.60846,0.44393,0.17464,1.2534,2.03876,1.28609,0.00010729,0.00010729,0.00010729
90,971.938,1.52397,1.65162,1.16702,0.54763,0.60509,0.44689,0.17407,1.21026,2.02478,1.26048,9.90437e-05,9.90437e-05,9.90437e-05
91,982.021,1.47267,1.65156,1.14285,0.49899,0.53953,0.43569,0.18575,1.20177,2.01178,1.26819,9.0797e-05,9.0797e-05,9.0797e-05
92,991.879,1.4855,1.66876,1.17127,0.31617,0.62382,0.43749,0.19109,1.218,1.97548,1.27328,8.25503e-05,8.25503e-05,8.25503e-05
93,1001.73,1.45722,1.63673,1.18159,0.31617,0.62382,0.43749,0.19109,1.218,1.97548,1.27328,7.43036e-05,7.43036e-05,7.43036e-05
94,1011.8,1.43616,1.62788,1.15521,0.34481,0.6192,0.44747,0.20422,1.25044,1.96462,1.27949,6.60569e-05,6.60569e-05,6.60569e-05
95,1022.16,1.45339,1.63165,1.1602,0.33898,0.62298,0.4977,0.21662,1.25112,1.94749,1.27605,5.78102e-05,5.78102e-05,5.78102e-05
